country,date,fertility_rate,gdp_per_capita,gdp_growth_rate,population,unemployment_rate,net_migration,avg_dest_gdp,gdp_gap_ratio,migration_pressure,pop_growth,gdp_lag_5,fertility_lag_3
Brazil,2011,1.777,13396.6263158041,3.97442307944702,195284734.0,7.578,-235860.0,47221.08305970434,3.524848864672539,6.263656432523101,0.8171343507890505,5934.14561857454,1.815
Brazil,2012,1.766,12521.7238454434,1.92117598509462,196876111.0,7.251,-179707.0,46529.73392493532,3.7159207868864863,6.562316109641535,0.8149008718725481,7409.69003822861,1.799
Brazil,2013,1.761,12458.8903396625,3.0048226702888,198478299.0,7.071,-157228.0,47860.02602784562,3.8414356915466765,6.764768252813697,0.8138051853330275,8908.33338467948,1.786
Brazil,2014,1.775,12274.9941630213,0.503955740273241,200085127.0,6.755,-145732.0,49157.63021882968,4.004696830481449,7.108336874104571,0.8095736451268154,8678.6584730653,1.777
Brazil,2015,1.777,8936.1955889444,-3.54576339347278,201675532.0,8.538,-173611.0,44810.92904203534,5.014542105308674,8.910841321133514,0.7948641779855992,11403.2840038694,1.766
Brazil,2016,1.727,8836.28546025694,-3.2759169063211,203218114.0,11.58,-92989.0,44236.64517592658,5.006248991716059,8.645792008693634,0.7648830697022824,13396.6263158041,1.761
Brazil,2017,1.74,10080.5078722821,1.32286905390815,204703445.0,12.792,-156296.0,45984.52697074104,4.561727201977843,7.937405331441447,0.7309048247539529,12521.7238454434,1.775
Brazil,2018,1.744,9300.66072904004,1.78366676137003,206107261.0,12.329,-230334.0,48615.278707212725,5.227077959678517,9.116023961679334,0.6857803492266612,12458.8903396625,1.777
Brazil,2019,1.705,9029.83304401079,1.22077782271943,207455459.0,11.936,-129216.0,48464.50914927236,5.367154510283817,9.15099844003391,0.6541244561005577,12274.9941630213,1.727
Brazil,2020,1.653,7074.19407495707,-3.27675879612903,208660842.0,13.697,-78437.0,46886.24039931856,6.627785427218872,10.955729311192796,0.5810321915896255,8936.1955889444,1.74
Brazil,2021,1.638,7972.53696080695,4.7626043797061,209550294.0,13.158,-208581.0,53371.48707696068,6.694417014224618,10.965455069299924,0.42626685077786775,8836.28546025694,1.744
Brazil,2022,1.629,9281.33282136864,3.01669435408112,210306415.0,9.231,-253639.0,54293.2500889066,5.849725587246039,9.529202981623797,0.36083032171743135,10080.5078722821,1.705
Brazil,2023,1.619,10377.5897719195,3.24165532813583,211140729.0,7.947,-240059.0,56934.79321505122,5.486321435552393,8.882354404159324,0.3967135286862211,9300.66072904004,1.653
Bulgaria,2000,1.26,1621.26210738992,4.58722541447194,8170172.0,16.218,-26211.0,27050.256836082543,16.684690718905976,21.02271030582153,,,
Bulgaria,2001,1.21,1770.90704918691,3.82370364608695,8009142.0,19.921,-30726.0,27035.9502538777,15.26672462357125,18.47273679452121,-1.9709499383856355,,
Bulgaria,2002,1.23,2092.98288625558,5.87193108148227,7837161.0,18.11,-12735.0,28408.729514927418,13.573321454984104,16.695185389630446,-2.147308663025327,,
Bulgaria,2003,1.26,2719.49436859287,5.23715364977618,7775327.0,13.733,-13183.0,32507.90732405692,11.953658628415278,15.06160987180325,-0.7889846846326098,,1.26
Bulgaria,2004,1.33,3389.68743360274,6.51042578445376,7716860.0,12.037,-13604.0,36517.24976751736,10.773043380198889,14.328147695664523,-0.7519555126105915,,1.21
Bulgaria,2005,1.37,3899.82596332878,7.05634873469204,7658972.0,10.083,-14435.0,38505.624311958745,9.87367761383163,13.526938330949333,-0.7501496722760348,1621.26210738992,1.23
